Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playingtime,Playing Time_Min_playingtime,Playing Time_Mn/MP,Playing Time_90s_playingtime,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_OG
Brandon Mechele,be BEL,DF,32.0,39,39.0,3433.0,38.1,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.13,0.05,0.18,0.13,0.18,38.1,5.0,34.0,14.0,41.2,0.89,0.37,0.15,0.36,0.0,0.0,39,3433.0,88.0,38.1,39.0,88.0,37.0,0.0,,1.0,2.18,86.0,41.0,45.0,1.18,38.1,4.0,0.0,0.0,37.0,21.0,2.0,5.0,45.0,44.0,1.0
Hans Vanaken,be BEL,MF,32.0,39,38.0,3364.0,37.4,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,0.19,0.08,0.27,0.19,0.27,37.4,7.0,58.0,21.0,36.2,1.55,0.56,0.12,0.33,0.0,0.0,39,3364.0,86.0,37.4,38.0,88.0,34.0,1.0,22.0,0.0,2.18,82.0,42.0,40.0,1.07,37.4,2.0,0.0,0.0,19.0,29.0,1.0,43.0,22.0,24.0,0.0
Joaquin Seys,be BEL,DF,20.0,39,35.0,2966.0,33.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,0.06,0.15,0.21,0.06,0.21,33.0,2.0,16.0,4.0,25.0,0.49,0.12,0.13,0.5,0.0,0.0,39,2966.0,76.0,33.0,35.0,82.0,18.0,4.0,23.0,0.0,2.26,72.0,41.0,31.0,0.94,33.0,3.0,0.0,0.0,22.0,22.0,1.0,62.0,40.0,25.0,0.0
Aleksandar Stanković,rs SRB,MF,19.0,39,34.0,3071.0,34.1,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,0.18,0.06,0.23,0.18,0.23,34.1,6.0,74.0,25.0,33.8,2.17,0.73,0.08,0.24,0.0,0.0,39,3071.0,79.0,34.1,34.0,85.0,24.0,5.0,35.0,0.0,2.18,77.0,37.0,40.0,1.17,34.1,4.0,0.0,0.0,29.0,29.0,0.0,30.0,43.0,23.0,0.0
Christos Tzolis,gr GRE,"MF,FW",23.0,36,34.0,3068.0,34.1,17.0,23.0,40.0,14.0,3.0,4.0,6.0,0.0,0.5,0.67,1.17,0.41,1.09,34.1,17.0,123.0,44.0,35.8,3.61,1.29,0.11,0.32,3.0,4.0,36,3068.0,85.0,34.1,34.0,88.0,29.0,2.0,38.0,0.0,2.11,79.0,37.0,42.0,1.23,34.1,6.0,0.0,0.0,31.0,60.0,5.0,278.0,9.0,19.0,0.0
Carlos Forbs,pt POR,MF,21.0,37,34.0,2794.0,31.0,8.0,8.0,16.0,8.0,0.0,0.0,3.0,0.0,0.26,0.26,0.52,0.26,0.52,31.0,8.0,57.0,21.0,36.8,1.84,0.68,0.14,0.38,0.0,0.0,37,2794.0,76.0,31.0,34.0,79.0,7.0,3.0,40.0,1.0,2.22,74.0,30.0,44.0,1.42,31.0,3.0,0.0,0.0,26.0,27.0,9.0,93.0,16.0,25.0,0.0
Joel Ordóñez,ec ECU,DF,21.0,33,30.0,2666.0,29.6,3.0,0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.1,0.0,0.1,0.1,0.1,29.6,3.0,16.0,4.0,25.0,0.54,0.14,0.19,0.75,0.0,0.0,33,2666.0,81.0,29.6,30.0,86.0,25.0,3.0,31.0,1.0,2.27,76.0,31.0,45.0,1.52,29.6,4.0,2.0,0.0,38.0,17.0,0.0,1.0,25.0,28.0,0.0
Nicolo Tresoldi,de GER,FW,20.0,40,29.0,2488.0,27.6,19.0,5.0,24.0,19.0,0.0,0.0,1.0,0.0,0.69,0.18,0.87,0.69,0.87,27.6,19.0,100.0,39.0,39.0,3.62,1.41,0.19,0.49,0.0,0.0,40,2488.0,62.0,27.6,29.0,78.0,6.0,11.0,21.0,0.0,2.2,63.0,25.0,38.0,1.37,27.6,1.0,0.0,0.0,20.0,46.0,6.0,8.0,7.0,14.0,0.0
Raphael Onyedika,ng NGA,MF,24.0,30,22.0,1994.0,22.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,0.05,22.2,1.0,29.0,11.0,37.9,1.31,0.5,0.03,0.09,0.0,0.0,30,1994.0,66.0,22.2,22.0,82.0,11.0,8.0,23.0,2.0,2.1,46.0,27.0,19.0,0.86,22.2,3.0,0.0,0.0,30.0,25.0,0.0,4.0,22.0,26.0,0.0
Nordin Jackers,be BEL,GK,27.0,21,20.0,1801.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,21,1801.0,86.0,20.0,20.0,86.0,19.0,1.0,72.0,11.0,2.1,38.0,22.0,16.0,0.8,20.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Kyriani Sabbe,be BEL,DF,20.0,27,20.0,1643.0,18.3,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.16,0.16,0.33,0.16,0.33,18.3,3.0,18.0,9.0,50.0,0.99,0.49,0.17,0.33,0.0,0.0,27,1643.0,61.0,18.3,20.0,74.0,4.0,7.0,23.0,3.0,2.33,41.0,22.0,19.0,1.04,18.3,2.0,0.0,0.0,9.0,11.0,2.0,40.0,27.0,22.0,0.0
Hugo Vetlesen,no NOR,"MF,FW",25.0,25,15.0,1289.0,14.3,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,0.35,0.42,0.77,0.35,0.77,14.3,5.0,36.0,14.0,38.9,2.51,0.98,0.14,0.36,0.0,0.0,25,1289.0,52.0,14.3,15.0,76.0,5.0,10.0,15.0,10.0,2.24,39.0,21.0,18.0,1.26,14.3,4.0,0.0,0.0,29.0,13.0,1.0,13.0,4.0,13.0,0.0
Romeo Vermant,be BEL,"FW,MF",21.0,35,13.0,1328.0,14.8,8.0,2.0,10.0,8.0,0.0,0.0,3.0,0.0,0.54,0.14,0.68,0.54,0.68,14.8,8.0,48.0,19.0,39.6,3.25,1.29,0.17,0.42,0.0,0.0,35,1328.0,38.0,14.8,13.0,73.0,2.0,22.0,17.0,0.0,2.31,33.0,17.0,16.0,1.08,14.8,3.0,0.0,0.0,40.0,34.0,9.0,3.0,3.0,8.0,0.0
Hugo Siquet,be BEL,DF,23.0,31,13.0,1290.0,14.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,14.3,0.0,16.0,2.0,12.5,1.12,0.14,0.0,0.0,0.0,0.0,31,1290.0,42.0,14.3,13.0,76.0,2.0,18.0,17.0,9.0,2.23,39.0,13.0,26.0,1.81,14.3,2.0,0.0,0.0,7.0,7.0,1.0,92.0,10.0,16.0,0.0
Jorne Spileers,be BEL,DF,20.0,23,13.0,1202.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,13.4,0.0,3.0,0.0,0.0,0.22,0.0,0.0,,0.0,0.0,23,1202.0,52.0,13.4,13.0,80.0,8.0,10.0,16.0,11.0,2.09,21.0,17.0,4.0,0.3,13.4,4.0,0.0,0.0,13.0,2.0,1.0,2.0,9.0,12.0,0.0
Simon Mignolet,be BEL,GK,37.0,12,12.0,1022.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,12,1022.0,85.0,11.4,12.0,85.0,10.0,0.0,,8.0,2.33,27.0,11.0,16.0,1.41,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjorn Meijer,nl NED,DF,22.0,27,9.0,1033.0,11.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.17,0.09,0.17,11.5,1.0,14.0,4.0,28.6,1.22,0.35,0.07,0.25,0.0,0.0,27,1033.0,38.0,11.5,9.0,80.0,4.0,18.0,17.0,8.0,2.3,28.0,10.0,18.0,1.57,11.5,1.0,0.0,0.0,7.0,9.0,4.0,38.0,13.0,7.0,0.0
Mamadou Diakhon,sn SEN,"MF,FW",19.0,23,8.0,802.0,8.9,0.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.79,0.79,0.0,0.79,8.9,0.0,16.0,3.0,18.8,1.8,0.34,0.0,0.0,0.0,0.0,23,802.0,35.0,8.9,8.0,67.0,0.0,15.0,18.0,10.0,2.09,21.0,12.0,9.0,1.01,8.9,1.0,0.0,0.0,6.0,28.0,2.0,37.0,4.0,4.0,0.0
Dani van den Heuvel,nl NED,GK,22.0,10,8.0,764.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,10,764.0,76.0,8.5,8.0,81.0,7.0,2.0,58.0,13.0,1.9,25.0,12.0,13.0,1.53,8.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
Cisse Sandra,be BEL,"MF,FW",21.0,16,6.0,595.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.15,0.15,0.3,0.15,0.3,6.6,1.0,15.0,4.0,26.7,2.27,0.61,0.07,0.25,0.0,0.0,16,595.0,37.0,6.6,6.0,79.0,3.0,10.0,12.0,15.0,2.69,15.0,4.0,11.0,1.66,6.6,2.0,0.0,0.0,13.0,1.0,1.0,4.0,6.0,5.0,0.0
Ludovit Reis,nl NED,MF,25.0,7,3.0,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,6.0,2.0,33.3,2.04,0.68,0.0,0.0,0.0,0.0,7,265.0,38.0,2.9,3.0,56.0,0.0,4.0,24.0,3.0,2.14,3.0,5.0,-2.0,-0.68,2.9,1.0,0.0,0.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0
Lynnt Audoor,be BEL,MF,21.0,7,3.0,197.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,2.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7,197.0,28.0,2.2,3.0,50.0,0.0,4.0,12.0,7.0,2.0,3.0,4.0,-1.0,-0.46,2.2,0.0,0.0,0.0,3.0,9.0,0.0,2.0,4.0,6.0,0.0
Félix Lemaréchal,fr FRA,MF,21.0,2,1.0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,100.0,1.3,1.3,0.0,0.0,0.0,0.0,2,69.0,35.0,0.8,1.0,55.0,0.0,1.0,14.0,8.0,1.5,1.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0
Zaid Romero,ar ARG,DF,25.0,1,1.0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,1.0,100.0,1.55,1.55,0.0,0.0,0.0,0.0,1,58.0,58.0,0.6,1.0,58.0,0.0,0.0,,5.0,0.0,0.0,2.0,-2.0,-3.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shandre Campbell,za RSA,MF,20.0,11,0.0,105.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.86,0.0,0.86,0.86,0.86,1.2,1.0,5.0,1.0,20.0,4.29,0.86,0.2,1.0,0.0,0.0,11,105.0,10.0,1.2,0.0,,0.0,11.0,10.0,9.0,2.18,4.0,4.0,0.0,0.0,1.2,1.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,3.0,0.0
Kaye Furo,be BEL,FW,18.0,5,0.0,89.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,1.01,1.01,1.0,1.0,4.0,2.0,50.0,4.04,2.02,0.25,0.5,0.0,0.0,5,89.0,18.0,1.0,0.0,,0.0,5.0,18.0,4.0,0.8,2.0,3.0,-1.0,-1.01,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0
Michał Skóraś,pl POL,MF,25.0,2,0.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.0,0.0,0.0,3.55,0.0,0.0,,0.0,0.0,2,76.0,38.0,0.8,0.0,,0.0,2.0,38.0,1.0,1.5,3.0,0.0,3.0,3.55,0.8,0.0,0.0,0.0,2.0,7.0,0.0,7.0,1.0,0.0,0.0
Gustaf Nilsson,se SWE,FW,28.0,7,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,1.0,33.3,5.87,1.96,0.0,0.0,0.0,0.0,7,46.0,7.0,0.5,0.0,,0.0,7.0,7.0,15.0,2.14,1.0,0.0,1.0,1.96,0.5,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Osuji,ng NGA,DF,19.0,1,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,16.0,16.0,0.2,0.0,,0.0,1.0,16.0,10.0,3.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Vanden Driessche,be BEL,GK,18.0,1,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,13.0,13.0,0.1,0.0,,0.0,1.0,13.0,1.0,3.0,1.0,0.0,1.0,6.92,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axl De Corte,be BEL,GK,19.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,,,,,
Tian Koren,si SVN,MF,16.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,
